agent_removed,phase,tier,group,accuracy_strict,accuracy_lenient,accuracy_drop_pp,baseline_strict,correct,wrong,active,win1_acc,win2_acc,win3_acc,win4_acc,win5_acc,win6_acc,win7_acc,win8_acc,win9_acc,win10_acc,win11_acc,win12_acc,win13_acc,win14_acc,win15_acc,win16_acc,win17_acc
Without HybridRegimeAgent,Phase 3b,Core,POSITIVE,83.80281690140845,81.05726872246696,3.906680305295467,87.70949720670392,119,23,142,33.33333333333333,100.0,0.0,96.15384615384616,64.28571428571429,100.0,87.5,80.0,100.0,94.44444444444444,85.71428571428571,83.33333333333334,75.0,33.33333333333333,75.0,0.0,100.0
Without SentimentScores,Phase 2,Core,POSITIVE,85.56149732620321,81.76100628930818,2.1479998805007057,87.70949720670392,160,27,187,25.0,100.0,85.71428571428571,100.0,60.0,100.0,87.5,85.71428571428571,87.5,94.44444444444444,87.5,88.88888888888889,75.0,81.81818181818183,70.0,80.0,100.0
Without CausalAgent,Phase 25,Analytical,POSITIVE,86.81318681318682,83.11688311688312,0.8963103935170977,87.70949720670392,158,24,182,25.0,100.0,90.0,100.0,69.23076923076923,100.0,86.66666666666667,90.0,100.0,94.11764705882352,85.71428571428571,88.88888888888889,66.66666666666666,71.42857142857143,70.0,87.5,100.0
Without AESLAgent,Phase 27,Epistemic,POSITIVE,87.07865168539325,82.89473684210526,0.6308455213106612,87.70949720670392,155,23,178,16.666666666666664,100.0,90.0,100.0,69.23076923076923,100.0,86.66666666666667,90.0,100.0,94.11764705882352,83.33333333333334,88.88888888888889,66.66666666666666,71.42857142857143,70.0,85.71428571428571,100.0
Without TopologyAgent,Phase 24,Analytical,POSITIVE,88.08290155440415,83.54037267080744,-0.37340434770023023,87.70949720670392,170,23,193,37.5,100.0,92.85714285714286,100.0,69.23076923076923,100.0,87.5,90.0,100.0,94.11764705882352,83.33333333333334,88.88888888888889,66.66666666666666,71.42857142857143,70.0,92.85714285714286,100.0
Without ASC Memory,Phase 26,Epistemic,OVER_REGULATOR,91.13924050632912,86.19791666666666,-3.4297432996252013,87.70949720670392,216,21,237,55.55555555555556,96.29629629629629,100.0,100.0,64.28571428571429,100.0,93.75,100.0,100.0,94.11764705882352,90.9090909090909,84.61538461538461,93.75,90.9090909090909,78.57142857142857,94.11764705882352,100.0
Without AdversarialTester,Phase 11,Robustness,OVER_REGULATOR,89.07563025210085,85.07853403141361,-1.3661330453969356,87.70949720670392,212,26,238,44.44444444444444,96.29629629629629,93.75,100.0,64.28571428571429,100.0,88.23529411764706,91.66666666666666,100.0,94.11764705882352,88.88888888888889,84.61538461538461,93.33333333333333,83.33333333333334,78.57142857142857,94.11764705882352,100.0
Without HeatmapGDI,Phase 16,Analytical,OVER_REGULATOR,88.83495145631069,83.87096774193549,-1.1254542496067756,87.70949720670392,183,23,206,44.44444444444444,100.0,90.9090909090909,100.0,69.23076923076923,100.0,87.5,90.9090909090909,100.0,94.11764705882352,83.33333333333334,88.88888888888889,80.0,71.42857142857143,78.57142857142857,88.88888888888889,100.0
Without ConflictResolver,Phase 13,Decision,OVER_REGULATOR,88.23529411764706,84.01253918495298,-0.5257969109431428,87.70949720670392,165,22,187,28.57142857142857,100.0,100.0,100.0,69.23076923076923,100.0,87.5,90.0,100.0,94.11764705882352,85.71428571428571,88.88888888888889,75.0,71.42857142857143,70.0,85.71428571428571,100.0
